;Johnny Cash;Willie Nelson;Dolly Parton;Hank Williams;Faith Hill;Dixie Chicks;Garth Brooks;Kenny Rogers;Tim McGraw;Hank Snow;Brooks and Dunn;Lee Hazlewood;Kenny Chesney;Jim Reeves;Roger Miller;Kris Kristofferson;Bob Dylan;Joni Mitchell;Leonard Cohen;Joan Baez;Townes van Zandt;Pete Seeger;Suzanne Vega;Tracy Chapman;Tim Buckley;Steeleye Span;Woody Guthrie;Donovan;Cat Stevens;John Denver;Don McLean;Crosby Stills & Nash;Miles Davis;Dave Brubeck;Billie Holiday;Duke Ellington;Django Reinhardt;Glenn Miller;Ella Fitzgerald;Louis Armstrong;Nat King Cole;Herbie Hancock;Nina Simone;John Coltrane;Charlie Parker;Count Basie;Thelonious Monk;Cannonball Adderley;John Lee Hooker;Muddy Waters;Taj Mahal;John Mayall;Big Bill Broonzy;BB King;Howlin' Wolf;Willie Dixon;Blind Lemon Jefferson;Blind Willie McTell;Mississippi John Hurt;T-Bone Walker;Etta James;Lightnin' Hopkins;Otis Rush;Albert King;James Brown;Marvin Gaye;Otis Redding;Solomon Burke;Sam Cooke;Aretha Franklin;Al Green;The Temptations;The Drifters;Fats Domino;The Supremes;Isaac Hayes;Alicia Keys;Erykah Badu;India Arie;Jill Scott;Iron Maiden;Megadeth;Slayer;Sepultura;Black Sabbath;Anthrax;Alice Cooper;Deep Purple;Def Leppard;AC/DC;Judas Priest;Kiss;Metallica;Pantera;Queensryche;Skid Row;Nirvana;Beck;Smashing Pumpkins;Radiohead;Belle and Sebastian;Alice in Chains;Echo and the Bunnymen;Sonic Youth;Weezer;Pearl Jam;Foo Fighters;Hole;Bush;The Smiths;Depeche Mode;Jane's Addiction;Patti Smith;Sex Pistols;Sid Vicious;Ramones;Bad Religion;The Clash;NoFX;Dead Kennedys;Buzzcocks;Green Day;Blink 182;Sum 41;The Misfits;Rancid;Screeching Weasel;Pennywise;Eminem;Dr. Dre;Public Enemy;Missy Elliot;Cypress Hill;50 Cent;Run DMC;Grandmaster Flash;2Pac;Snoop Dogg;Jay-Z;Busta Rhymes;LL Cool J;DMX;Ice Cube;Mystikal;Aphex Twin;Daft Punk;Kraftwerk;Chemical Brothers;Fatboy Slim;Basement Jaxx;Carl Cox;Moloko;Paul Oakenfold;Prodigy;Armand van Helden;Moby;Massive Attack;Mouse on Mars;Jimi Tenor;Underworld;Bob Marley;Jimmy Cliff;Peter Tosh;Ziggy Marley;Sean Paul;Alpha Blondy;Shaggy;Maxi Priest;Shabba Ranks;UB40;Inner Circle;Desmond Dekker;Capleton;Bounty Killer;Eddy Grant;Black Uhuru;The Rolling Stones;The Animals;The Faces;The Kinks;The Who;Elvis Presley;Chuck Berry;Little Richard;Jerry Lee Lewis;Buddy Holly;Bo Diddley;Bill Haley;Chubby Checker;The Yardbirds;Carl Perkins;Gene Vincent;Madonna;Britney Spears;N'Sync;Justin Timberlake;ABBA;Michael Jackson;Janet Jackson;Prince;Spice Girls;Christina Aguilera;Robbie Williams;Nelly Furtado;Avril Lavigne;Jennifer Lopez;O-Town;Shakira;Wolfgang Amadeus Mozart;Ludwig van Beethoven;Johann Sebastian Bach;Joseph Haydn;Johannes Brahms;Frederic Chopin;Antonin Dvorak;Gustav Mahler;Franz Schubert;Antonio Vivaldi;Richard Wagner;Herbert von Karajan;Yehudi Menuhin;Georg Friedrich Haendel;Tchaikovsky;Giuseppe Verdi
Big Bill Broonzy;0,105245;0,058777;0,023951;0,051346;0,001527;0,019613;0,000181;0,00034;0,00018;0,00034;0;0,135557;0,000181;0,000306;0,038343;0,040248;0,208903;0,097837;0,262586;0,154338;0,121387;0,115996;0,049457;0,107219;0,107325;0,093035;0,197054;0,094269;0,099598;0,074252;0,064861;0,074271;0,1026;0,033981;0,343926;0,114671;0,043511;0,006858;0,215817;0,25156;0,204275;0,023877;0,294998;0,033738;0,105455;0,093422;0,032954;0,090871;0,97344;0,938511;0,897135;0,77384;1;0,901019;0,939296;0,861746;0,969811;0,981233;0,971936;0,939961;0,53726;0,979064;0,838368;0,908119;0,131863;0,017057;0,225493;0,388973;0,059763;0,22328;0,066752;0,014504;0,008722;0,533753;0,006958;0,022907;0,012329;0,000333;0,021879;0,000375;0;0,000301;0,000339;0;0;0,000329;0,000387;0,007279;0;0,007661;0;0,00033;0,000339;0,000259;0;0,000277;0,000228;0,024172;0,000627;0;0,009251;0,000158;0;0,000904;0,000418;0,000287;0,000286;0,000336;0;0;0;0,00038;0,00108;0;0;0,000286;0,00027;0;0,000216;0,00023;0;0,000401;0,000241;0;0,000236;0,000148;0,00029;0,000139;0,000429;0,000173;0,000263;0;0,000337;0,000323;0,001151;0,000199;0,000244;0,000296;0,000201;0,000194;0,000133;0,000065;0,000163;0,000622;0;0;0;0;0;0;0;0;0;0,000279;0,00007;0,000353;0;0;0;0;0;0;0;0,002425;0;0;0;0;0;0;0;0;0;0;0;0;0,140222;0,103833;0;0,000813;0;0,037311;0,309539;0,025912;0,032076;0,005663;0,744561;0,000139;0,001354;0,269077;0,042012;0,000208;0,000511;0,000788;0;0,000426;0;0,000442;0,000512;0,007337;0;0,007619;0;0,026963;0;0,000504;0,002186;0,002095;0;0;0;0;0;0;0;0;0;0;0;0;0,000597;0;0;0
BB King;0,054902;0,016616;0;0,025329;0;0;0;0;0;0;0;0,079567;0;0,001633;0;0;0,129312;0,022684;0,201341;0,05851;0,045896;0,008139;0,001273;0,04165;0,05049;0;0,095118;0,006554;0;0;0;0;0,291733;0,215962;0,526374;0,296555;0,174921;0,143633;0,394541;0,440943;0,378912;0,194058;0,459207;0,214951;0,285017;0,265416;0,210477;0,272795;0,945642;0,923238;0,920216;0,82426;0,901019;1;0,936095;0,938488;0,862818;0,864191;0,830107;0,919953;0,673921;0,915871;0,868419;0,929314;0,14429;0,019245;0,240808;0,414195;0,062053;0,297452;0,078865;0,018631;0,00571;0,595244;0,007681;0,027162;0,016136;0,048265;0;0,048077;0;0;0;0;0;0;0;0,006265;0;0,007299;0;0;0;0;0;0;0;0,007897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,001329;0;0;0;0;0;0,001314;0;0;0;0;0;0;0;0;0,069841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,14872;0,112053;0;0;0;0,038873;0,321554;0,026718;0,03378;0,00521;0,78627;0;0,002311;0,285463;0,04461;0;0;0;0;0;0;0;0,001213;0,009211;0;0,012272;0,001534;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Howlin' Wolf;0,057951;0,01724;0,001391;0,025133;0,002054;0,000752;0,001309;0,002905;0,001766;0,000264;0;0,079501;0,001403;0,002137;0,001976;0,001587;0,133038;0,009593;0,197372;0,059855;0,044892;0,008839;0,001976;0,044593;0,038072;0,0011;0,092847;0,010168;0,005705;0,003758;0,010761;0;0,124026;0,052701;0,371744;0,13566;0,038317;0,020825;0,240063;0,278252;0,228111;0,041316;0,323496;0,052455;0,126125;0,112918;0,051193;0,111268;0,953593;0,992121;0,897561;0,804178;0,939296;0,936095;1;0,964792;0,908006;0,913137;0,879377;0,948591;0,584416;0,944388;0,941237;0,944559;0,157932;0,039966;0,262854;0,430475;0,089671;0,25844;0,094925;0,029809;0,036489;0,588081;0,019613;0,042652;0,021544;0,013558;0,011446;0,01295;0,001711;0,000934;0,000701;0,000162;0,005284;0,000851;0,008801;0,01628;0,007756;0,015784;0,001777;0,008053;0,00298;0,000872;0,002882;0,003505;0,004553;0,010784;0,005448;0,004333;0,000845;0,003516;0;0,003446;0,007102;0,005274;0,008062;0,004106;0,005396;0,002468;0,001275;0,006468;0,006657;0,00216;0,000614;0,004218;0,002026;0,004304;0,001635;0,001113;0,001609;0,005566;0,002748;0,003347;0,000489;0,001374;0,000751;0,001658;0,001036;0,000417;0,000613;0;0,001047;0,000802;0,002382;0,000411;0,000506;0,000613;0,000554;0,000335;0,000483;0,000202;0,000394;0,000902;0,000058;0,000213;0,000077;0;0,000428;0,000318;0;0,000061;0,000064;0,000722;0,000145;0,001243;0,000146;0,00009;0,006898;0,000213;0,001099;0,000443;0,000087;0,000179;0,000432;0;0,000775;0;0,000201;0,00069;0,00018;0,000408;0;0;0,000874;0,000082;0,157667;0,120457;0,008504;0,010391;0,011887;0,047601;0,322606;0,036335;0,037396;0,01071;0,801826;0,003882;0,004202;0,291208;0,045059;0,001867;0,001358;0,001794;0;0,003455;0,000502;0,004037;0,004471;0,014738;0,000154;0,011454;0,004761;0,000517;0,004753;0,001565;0,002505;0,002276;0;0;0;0;0;0;0;0;0;0;0;0;0,000961;0;0;0
Willie Dixon;0,089632;0,048495;0,02382;0,049603;0,002316;0,002285;0,013065;0,005334;0,001453;0,010574;0;0,134842;0,002651;0,004255;0,021479;0,048752;0,174676;0,076607;0,269459;0,104026;0,107585;0,051748;0,057132;0,094885;0,120808;0;0,1346;0,060427;0,060161;0,043478;0,051476;0;0,233338;0,162267;0,462138;0,241922;0,130494;0,104219;0,335156;0,377692;0,322234;0,144073;0,405651;0,161422;0,229406;0,212445;0,157979;0,216974;0,900195;0,961304;0,877054;0,782156;0,861746;0,938488;0,964792;1;0,825046;0,827997;0,794632;0,884806;0,623237;0,876384;0,939616;0,901756;0,144671;0,027583;0,24209;0,403471;0,07342;0,275453;0,082612;0,021322;0,023105;0,585191;0,013405;0,032817;0,035698;0,038472;0,000987;0,038092;0;0,000228;0,000257;0;0;0,00025;0,000391;0,006174;0;0,007609;0;0,000467;0,000285;0,000197;0;0,00021;0,00023;0,041342;0,000634;0,000058;0,001651;0,00016;0;0,000337;0,000422;0,00029;0,000289;0,000272;0;0,000662;0,000057;0,000385;0,039677;0;0;0,000289;0,000205;0;0,000218;0,000155;0;0,000405;0,000244;0;0,000239;0,000149;0,000147;0,000141;0,001302;0,000175;0,000266;0;0,000273;0,000326;0,001164;0,000201;0,000185;0,00024;0,000203;0,000131;0,000135;0,000066;0,000165;0,001133;0;0;0;0;0;0,000934;0;0;0;0,000282;0,000071;0,000286;0;0;0,049758;0;0,003222;0,000087;0,00102;0;0,000181;0;0,000303;0;0,000131;0,000084;0;0,001264;0;0;0,001709;0;0,144819;0,111359;0;0,0054;0,002697;0,049149;0,327892;0,050509;0,05175;0,029423;0,778315;0,025224;0,024367;0,275792;0,057279;0,014734;0,002213;0,001673;0;0,002227;0,000736;0,001563;0,003737;0,012906;0;0,013592;0,006252;0,020774;0,002997;0,000637;0,001816;0,017793;0;0;0;0;0;0;0;0;0;0;0;0;0,00047;0;0;0
Blind Lemon Jefferson;0,099516;0,057627;0,023011;0,048714;0,001462;0,019631;0,000952;0,00391;0,001376;0,000651;0;0,131879;0,000433;0,003223;0,04106;0,039101;0,198073;0,085208;0,249968;0,145104;0,115468;0,109982;0,045475;0,090215;0,101701;0,089281;0,185285;0,088979;0,082438;0,062472;0,061639;0,076202;0,09825;0,03246;0,329988;0,110044;0,025756;0,008101;0,207331;0,242601;0,19858;0,022865;0,282818;0,032308;0,100984;0,089535;0,031557;0,087018;0,941845;0,904145;0,850923;0,738752;0,969811;0,862818;0,908006;0,825046;1;0,990269;0,960002;0,919764;0,513252;0,959004;0,793258;0,859235;0,12503;0,015398;0,215019;0,370342;0,057229;0,212824;0,062384;0,015304;0,010965;0,51016;0,008041;0,020988;0,011472;0,000127;0,004673;0,00012;0;0,000216;0,000243;0;0;0,000236;0,00037;0,006184;0;0,006878;0;0,000253;0,00027;0,000186;0;0,000199;0,000218;0,022911;0,0006;0,000055;0,008207;0,000151;0;0,000501;0,0004;0,000275;0,000274;0,000258;0;0,00009;0,000054;0,000364;0,000988;0;0;0,000274;0,000194;0;0,000206;0,000147;0;0,000384;0,000231;0;0,000226;0,000141;0,000139;0,000133;0,000411;0,000166;0,000252;0;0,000258;0,000309;0,001102;0,00019;0,000175;0,000227;0,000192;0,000124;0,000128;0,000062;0,000156;0,000179;0;0;0;0;0;0;0;0;0;0,000267;0,000067;0,000271;0;0;0,000116;0;0;0;0;0,002322;0,000171;0;0,000287;0,000077;0,000124;0,00008;0;0,000189;0;0;0,000809;0;0,133896;0,101169;0;0,001167;0,000131;0,038818;0,292967;0,027571;0,033697;0,009537;0,708215;0,001397;0,004667;0,257028;0,041431;0,002392;0,000419;0,000679;0;0,002109;0,000581;0,000634;0,000327;0,006672;0;0,007296;0,001583;0,02582;0;0,000362;0,001869;0;0;0;0;0;0;0;0;0;0;0;0;0;0,000445;0;0;0
Blind Willie McTell;0,11349;0,073847;0,028885;0,062526;0,002197;0,022217;0,002946;0,002448;0,001551;0,002283;0;0,147221;0,00078;0,002201;0,045779;0,057449;0,215066;0,102786;0,266974;0,162951;0,143289;0,136709;0,056991;0,104864;0,118402;0,10198;0,215572;0,104671;0,100931;0,07669;0,075019;0,081411;0,098488;0,032673;0,330083;0,110219;0,023439;0,007008;0,207144;0,241899;0,196795;0,023053;0,283464;0,03252;0,101378;0,089752;0,031686;0,087315;0,946905;0,908958;0,858728;0,739706;0,981233;0,864191;0,913137;0,827997;0,990269;1;0,972571;0,916223;0,513658;0,955838;0,793819;0,861434;0,124901;0,015062;0,214142;0,370932;0,055461;0,212597;0,062175;0,013332;0,00621;0,50818;0,006098;0,021021;0,013387;0,00051;0,005695;0,00048;0;0,000433;0,000488;0;0;0,000473;0,00068;0,006081;0;0,006823;0;0,000506;0,000542;0,000373;0;0,000398;0,000437;0,028388;0,001202;0,000055;0,009656;0,000303;0;0,00073;0,000744;0,000482;0,000548;0,000516;0;0,000135;0,000054;0,000678;0,004522;0;0;0,000549;0,000388;0;0,000413;0,000295;0;0,000713;0,000405;0;0,000454;0,000283;0,000278;0,000267;0,000823;0,000332;0,000505;0;0,000517;0,000557;0,002208;0,000381;0,000352;0,000454;0,000385;0,000248;0,000256;0,000125;0,000313;0,000418;0;0;0;0;0;0;0;0;0;0,000535;0,000134;0,000542;0;0;0,000116;0;0,000255;0;0,000081;0,002658;0,000172;0;0,000287;0;0,000124;0,00008;0;0,000126;0;0;0,000811;0;0,133918;0,099527;0;0,000946;0;0,036434;0,291648;0,024673;0,031473;0,006462;0,709342;0,000333;0,002077;0,257029;0,040896;0,000466;0,000979;0,001436;0;0,002521;0,000058;0,001059;0,000818;0,007155;0;0,007928;0,001862;0,031197;0,000237;0,000725;0,002846;0,001808;0;0;0;0;0;0;0;0;0;0;0;0;0,000891;0;0;0
Mississippi John Hurt;0,163792;0,114398;0,053234;0,089143;0,003587;0,041938;0,002247;0,002508;0,000497;0,00235;0;0,206671;0,000666;0,002749;0,081791;0,094484;0,296507;0,207419;0,334485;0,259379;0,22129;0,240221;0,10619;0,194265;0,190185;0,189915;0,321691;0,192655;0,222924;0,16872;0,139935;0,156401;0,094682;0,031618;0,317822;0,106399;0,029173;0,008267;0,199754;0,233926;0,191051;0,022289;0,273857;0,031392;0,097603;0,086427;0,030512;0,084023;0,916402;0,87809;0,868394;0,711381;0,971936;0,830107;0,879377;0,794632;0,960002;0,972571;1;0,880481;0,494138;0,935139;0,765652;0,828817;0,120478;0,015022;0,20716;0,357366;0,055655;0,205163;0,060536;0,015033;0,010895;0,491063;0,008068;0,020583;0,013234;0,000613;0,040014;0,000634;0;0,000693;0,000781;0;0;0,000758;0,00095;0,006166;0;0,006743;0;0,00079;0,000832;0,000597;0;0,000637;0,000629;0,045562;0,001732;0;0,019866;0,000437;0;0,00114;0,001045;0,000661;0,00079;0,000805;0;0,000043;0;0,000951;0,005384;0;0;0,000791;0,000622;0;0,000596;0,000495;0;0,001002;0,000556;0;0,000654;0,000408;0,000535;0,000385;0,00112;0,000478;0,000728;0;0,000808;0,000773;0,003181;0,00055;0,000563;0,000709;0,000555;0,000417;0,000368;0,00018;0,000451;0,001663;0;0;0;0;0;0;0;0;0;0,000771;0,000193;0,000846;0;0;0;0;0,000245;0;0,000077;0,004948;0;0;0;0,000074;0;0;0;0,000182;0;0;0,000142;0;0,128942;0,097274;0;0,002086;0,000126;0,039024;0,284072;0,026699;0,033197;0,010749;0,682447;0,001536;0,005488;0,247508;0,040502;0,002621;0,001411;0,002105;0;0,001178;0,000615;0,001153;0,001152;0,0071;0;0,008012;0,000265;0,056582;0,000228;0,001103;0,005539;0,008298;0;0;0;0;0;0;0;0;0;0;0;0;0,001406;0;0;0
T-Bone Walker;0,056801;0,017112;0,001121;0,025003;0,001547;0,000654;0,000275;0,001723;0,000273;0,000172;0;0,076726;0,000916;0,00124;0,001773;0,000814;0,131023;0,011543;0,193395;0,061088;0,044379;0,008343;0,001692;0,04667;0,039726;0,001683;0,090884;0,013312;0,006996;0,003547;0,012086;0;0,138623;0,068584;0,379402;0,149266;0,055393;0,03642;0,251137;0,28911;0,238592;0,056379;0,335405;0,068177;0,139772;0,126197;0,066675;0,125454;0,956876;0,930024;0,877448;0,785775;0,939961;0,919953;0,948591;0,884806;0,919764;0,916223;0,880481;1;0,60182;0,969189;0,84549;0,948133;0,177072;0,062715;0,28973;0,451717;0,117551;0,281582;0,121803;0,044482;0,068888;0,61585;0,034751;0,061659;0,029336;0,026072;0,020431;0,024971;0,001675;0,000685;0,000429;0,000158;0,005581;0,000583;0,008615;0,016947;0,007657;0,015658;0,001822;0,008083;0,002631;0,000657;0,002821;0,003221;0,004227;0,010181;0,004698;0,004183;0,000827;0,003281;0;0,003132;0,006529;0,004872;0,007602;0,003746;0,005282;0,002321;0,001192;0,005946;0,006864;0,003445;0,003228;0,005143;0,001778;0,004642;0,001382;0,001012;0,002047;0,005042;0,002445;0,003276;0,00024;0,001195;0,000588;0,001482;0,000579;0,000292;0,000333;0;0,000751;0,000523;0,001166;0,000201;0,000681;0,00036;0,000475;0,000262;0,00054;0,000132;0,00022;0,001135;0,000057;0,000209;0,000377;0;0,000419;0,000436;0;0,00006;0,000063;0,000424;0,000071;0,00093;0,000143;0,000088;0,013258;0,000209;0,001345;0,00104;0,000255;0,000175;0,000363;0,000084;0,000759;0;0,000131;0,000675;0,000352;0,000999;0;0;0,000078;0,00016;0,157224;0,122046;0,008325;0,014522;0,014683;0,047807;0,319615;0,043681;0,037727;0,014044;0,810889;0,00753;0,007788;0,287083;0,047141;0,005271;0,001034;0,002554;0;0,001799;0,003809;0,005591;0,007601;0,018361;0,000226;0,013541;0,003204;0,00065;0,004652;0,001851;0,001582;0,002917;0;0;0;0;0;0;0;0;0;0;0;0;0,00047;0;0;0
Etta James;0,041554;0,013718;0,13573;0,019056;0,150449;0,142018;0,001317;0,013643;0,000626;0,000808;0;0,082773;0,002063;0,024148;0,017951;0,004306;0,091592;0,222199;0,131753;0,187012;0,031043;0,008701;0,251396;0,399112;0,087285;0,021019;0,059839;0,02651;0,013901;0,011263;0,021059;0,043715;0,552706;0,503101;0,807767;0,541796;0,435185;0,380049;0,767376;0,659691;0,604023;0,472029;0,906015;0,500372;0,528903;0,503585;0,489802;0,52822;0,616203;0,573014;0,570953;0,504765;0,53726;0,673921;0,584416;0,623237;0,513252;0,513658;0,494138;0,60182;1;0,545028;0,520494;0,623726;0,422154;0,436227;0,615337;0,691581;0,518103;0,845708;0,518939;0,390899;0,352875;0,559916;0,455995;0,41005;0,493738;0,615516;0,467858;0,579692;0,002446;0,001287;0,000806;0,000297;0,006176;0,001095;0,010332;0,015107;0,009907;0,014611;0,001866;0,009741;0,004366;0,001233;0,005295;0,005083;0,007742;0,016299;0,00882;0,007853;0,005174;0,00606;0;0,009318;0,012333;0,008873;0,014225;0,142664;0,009882;0,004535;0,002521;0,011162;0,190774;0,004018;0,002678;0,00621;0,003338;0,006301;0,002595;0,001705;0,003203;0,009684;0,004629;0,006233;0,00045;0,002244;0,00115;0,002782;0,001587;0,00084;0,000626;0,002201;0,001411;0,005771;0,002188;0,000756;0,004027;0,001577;0,006028;0,004226;0,018798;0,001113;0,000483;0,020123;0,000106;0,000566;0,000378;0,000144;0,000961;0,007101;0;0,128948;0,002645;0,000796;0,000266;0,002463;0,00309;0,00022;0,187326;0,000435;0,001907;0,020673;0,004104;0,000384;0,018384;0,000053;0,026263;0,012693;0,003085;0,001954;0,000661;0,014927;0;0;0,001997;0,000201;0,112227;0,114459;0,005209;0,028808;0,021974;0,069498;0,223255;0,099223;0,050227;0,049047;0,635077;0,01951;0,057868;0,197531;0,042042;0,02432;0,145441;0,134042;0,004403;0,062191;0,043092;0,103429;0,301193;0,17129;0,122237;0,313257;0,017269;0,19903;0,168266;0,171016;0,008859;0,15866;0,000925;0,000971;0,000347;0;0,000364;0;0;0,000209;0,000315;0,000811;0,000255;0,000205;0,001472;0,001531;0;0,000417
Lightnin' Hopkins;0,073287;0,032682;0,010124;0,035304;0,001397;0,006891;0,001378;0,002767;0,000365;0,001037;0;0,100721;0,000551;0,002333;0,015525;0,016409;0,155257;0,042973;0,219889;0,091189;0,074645;0,043721;0,021285;0,071629;0,062077;0,027087;0,128048;0,037892;0,042861;0,03197;0,026428;0,026963;0,104378;0,034627;0,350506;0,117142;0,053998;0,008665;0,220236;0,257683;0,210483;0,024431;0,300068;0,034465;0,10744;0,095199;0,033581;0,092536;0,978336;0,946652;0,894918;0,788234;0,979064;0,915871;0,944388;0,876384;0,959004;0,955838;0,935139;0,969189;0,545028;1;0,858874;0,926879;0,132787;0,016421;0,228321;0,392096;0,061076;0,226135;0,066546;0,016381;0,01164;0,541583;0,008718;0,022494;0,014187;0,000541;0,024141;0,000509;0;0,000459;0,000517;0;0;0,000502;0,000655;0,007877;0;0,008065;0;0,000536;0,000574;0,000395;0;0,000422;0,000463;0,015106;0,001274;0;0,003181;0,000321;0;0,001354;0,000728;0,000438;0,000581;0,000547;0;0,000048;0;0,000663;0,004193;0;0;0,000582;0,000412;0;0,000438;0,000312;0;0,000698;0,000368;0;0,000481;0,0003;0,000295;0,000283;0,0008;0,000351;0,000535;0;0,000548;0,000525;0,00234;0,000404;0,000373;0,000482;0,000408;0,000263;0,000271;0,000132;0,000332;0,000633;0;0;0;0;0;0;0;0;0;0,000567;0,000142;0,000575;0;0;0;0;0,00027;0;0,000085;0,000704;0;0;0;0,000082;0;0;0;0,000201;0;0;0,000156;0;0,142871;0,107324;0;0,000708;0,000139;0,041681;0,319461;0,029266;0,036198;0,010768;0,75482;0,001554;0,005834;0,274192;0,04412;0,00268;0,001038;0,001522;0;0,000867;0,000678;0,000823;0,000867;0,008085;0;0,008402;0,000292;0,009571;0,000251;0,000769;0,002143;0,003194;0;0;0;0;0;0;0;0;0;0;0;0;0,000944;0;0;0
Otis Rush;0,087095;0,039014;0,023342;0,04566;0,025335;0,023523;0,026333;0,027659;0,02618;0,024532;0,018749;0,088816;0,028434;0,022664;0,025557;0,022273;0,149716;0,015505;0,191486;0,069021;0,052744;0,009903;0,003673;0,041869;0,042036;0,004794;0,092808;0,026701;0,02768;0,030939;0,041488;0;0,107072;0,040635;0,337865;0,117927;0,065718;0,01233;0,214854;0,249455;0,203612;0,03042;0,28921;0,040364;0,108988;0,097188;0,039524;0,095181;0,87271;0,955419;0,874395;0,830759;0,838368;0,868419;0,941237;0,939616;0,793258;0,793819;0,765652;0,84549;0,520494;0,858874;1;0,905886;0,127692;0,016624;0,217664;0,372669;0,056476;0,21697;0,063977;0,018021;0,009676;0,513414;0,009923;0,021422;0,011356;0,002367;0,017838;0,002167;0,006362;0,001302;0,000489;0,000451;0,023849;0,00095;0,03514;0,054886;0,031857;0,046845;0,008337;0,032418;0,007983;0,00131;0,008036;0,010772;0,011822;0,015718;0,011575;0,012082;0,002617;0,009121;0;0,00842;0,017911;0,013879;0,021037;0,010091;0,015197;0,007287;0,003556;0,016312;0,019603;0,009072;0,004063;0,015477;0,004481;0,016885;0,003317;0,002513;0,005159;0,01354;0,006444;0,009334;0;0,00298;0,001256;0,00382;0,000619;0,000166;0,00019;0;0,001362;0,000373;0;0;0,000176;0,000342;0,000193;0;0;0,000188;0,000157;0,000419;0,000162;0,000595;0,000501;0;0,001193;0,000592;0;0,000171;0,00018;0,000403;0;0,001835;0,000408;0,00025;0,003148;0,000594;0,004171;0,000165;0,000081;0,0005;0,000344;0;0,000432;0,000155;0;0,002484;0,000585;0,000569;0;0;0,000443;0,000228;0,19852;0,173319;0,10277;0,049858;0,055775;0,074681;0,33406;0,037147;0,049173;0,022728;0,734118;0,013634;0,011875;0,365019;0,051669;0,006073;0,001263;0,000909;0;0,000205;0,005075;0,003115;0,001039;0,017199;0,000429;0,008365;0,008367;0,001029;0,013254;0,000182;0,002704;0,006347;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Albert King;0,058589;0,016955;0,001462;0,02487;0,00298;0,000829;0,000557;0,001049;0,000554;0,000175;0;0,078148;0,001672;0,001022;0,000817;0,001201;0,132012;0,010372;0,196739;0,05914;0,044623;0,008148;0,003555;0,059527;0,041185;0,001365;0,092022;0,008833;0,00585;0,001732;0,006972;0;0,123303;0,05232;0,369973;0,134677;0,075084;0,020674;0,240856;0,277985;0,226458;0,044428;0,338413;0,052075;0,125295;0,11226;0,050822;0,110462;0,942516;0,932915;0,907093;0,81957;0,908119;0,929314;0,944559;0,901756;0,859235;0,861434;0,828817;0,948133;0,623726;0,926879;0,905886;1;0,214803;0,100966;0,333677;0,498161;0,159044;0,313609;0,163059;0,073811;0,096307;0,643623;0,055455;0,100085;0,059683;0,050083;0,059825;0,047374;0,002265;0,00139;0,00087;0,000321;0,00428;0,001183;0,007943;0,016041;0,00816;0,017356;0,001176;0,007588;0,004408;0,001332;0,005721;0,004971;0,008261;0,013936;0,009529;0,008367;0,001677;0,006494;0;0,006842;0,012998;0,009439;0,015272;0,007461;0,010606;0,004228;0,002302;0,01206;0,010796;0,003018;0,001066;0,004848;0,003606;0,005359;0,002804;0,001736;0,003034;0,01011;0,00496;0,006646;0,000486;0,002425;0,001192;0,003006;0,001175;0,000592;0,000676;0,003568;0,001524;0,001658;0,002364;0,001021;0,000941;0,001034;0,001582;0,000864;0,004176;0,000535;0,000503;0,002686;0,000115;0,000565;0,000153;0;0,000991;0,000632;0;0,000122;0,000128;0,00086;0,000215;0,001887;0,00029;0,000178;0,007781;0,000423;0,001455;0,002198;0,000432;0,000445;0,004782;0;0,005234;0,00347;0,000333;0,000685;0,000357;0,001487;0;0;0;0,000163;0,158638;0,123779;0,021107;0,008706;0,009553;0,046027;0,333588;0,049188;0,035878;0,011836;0,851428;0,004568;0,005618;0,302652;0,044661;0,001996;0,001798;0,002428;0;0,012772;0,000623;0,015727;0,025403;0,038889;0,000458;0,025547;0,005834;0,00381;0,009437;0,010615;0,003369;0,004519;0;0;0;0;0;0;0;0;0;0;0;0;0,000954;0;0;0
